Frame;DeltaTime;FPS
Average;0.00198735;503
0;0.0622476;16
1;0.0032629;306
2;0.0170302;59
3;0.001342;745
4;0.001458;686
5;0.005251;190
6;0.0032782;305
7;0.0019443;514
8;0.002936;341
9;0.0016976;589
10;0.0052219;192
11;0.0043091;232
12;0.0013334;750
13;0.0013897;720
14;0.0012576;795
15;0.0021819;458
16;0.00209;478
17;0.0052634;190
18;0.0016995;588
19;0.0062405;160
20;0.0063502;157
21;0.0057358;174
22;0.0016085;622
23;0.0037517;267
24;0.0039074;256
25;0.0030285;330
26;0.0092646;108
27;0.0022098;453
28;0.0033936;295
29;0.0023425;427
30;0.0052947;189
31;0.003617;276
32;0.00358;279
33;0.0017198;581
34;0.0018739;534
35;0.005348;187
36;0.0019194;521
37;0.0018161;551
38;0.0016796;595
39;0.0027903;358
40;0.0016783;596
41;0.0019645;509
42;0.0037819;264
43;0.0017296;578
44;0.0030457;328
45;0.0031057;322
46;0.0016968;589
47;0.0020314;492
48;0.0060688;165
49;0.0017896;559
50;0.0058557;171
51;0.0076912;130
52;0.0046099;217
53;0.0035045;285
54;0.0018348;545
55;0.0019713;507
56;0.0046766;214
57;0.0017318;577
58;0.0015926;628
59;0.0019173;522
60;0.0016598;602
61;0.0019295;518
62;0.0017748;563
63;0.0028126;356
64;0.005324;188
65;0.0018377;544
66;0.0014228;703
67;0.0019233;520
68;0.0015081;663
69;0.0014942;669
70;0.003156;317
71;0.0020888;479
72;0.0016329;612
73;0.001683;594
74;0.0015304;653
75;0.001849;541
76;0.0016159;619
77;0.0014427;693
78;0.0015976;626
79;0.0018296;547
80;0.0029864;335
81;0.0013751;727
82;0.0014607;685
83;0.0013883;720
84;0.0014893;671
85;0.0014738;679
86;0.0013116;762
87;0.0020104;497
88;0.0016104;621
89;0.001507;664
90;0.0018465;542
91;0.0013475;742
92;0.0011195;893
93;0.0012552;797
94;0.001326;754
95;0.0014904;671
96;0.0014418;694
97;0.002093;478
98;0.0012952;772
99;0.0015669;638
100;0.0012975;771
101;0.0017703;565
102;0.0012634;792
103;0.0014213;704
104;0.0013713;729
105;0.0013752;727
106;0.001154;867
107;0.0014746;678
108;0.0015269;655
109;0.0019427;515
110;0.0015562;643
111;0.0014962;668
112;0.0014878;672
113;0.0022122;452
114;0.0014049;712
115;0.0013928;718
116;0.0012861;778
117;0.0014848;673
118;0.0021967;455
119;0.0016555;604
120;0.0012973;771
121;0.0013226;756
122;0.0013334;750
123;0.0014561;687
124;0.0012833;779
125;0.0014027;713
126;0.0012582;795
127;0.0016282;614
128;0.0020156;496
129;0.0017588;569
130;0.0015433;648
131;0.0015396;650
132;0.0012803;781
133;0.0013536;739
134;0.0013986;715
135;0.001718;582
136;0.0016251;615
137;0.0015025;666
138;0.0015793;633
139;0.0017378;575
140;0.0013856;722
141;0.0015755;635
142;0.0012226;818
143;0.0014381;695
144;0.0012803;781
145;0.001662;602
146;0.0013275;753
147;0.0013506;740
148;0.0012862;777
149;0.0027279;367
150;0.0018005;555
151;0.0015227;657
152;0.0013414;745
153;0.0014495;690
154;0.0012409;806
155;0.0014857;673
156;0.0016395;610
157;0.0014794;676
158;0.001974;507
159;0.0014701;680
160;0.0015954;627
161;0.0017268;579
162;0.0018755;533
163;0.0016319;613
164;0.0012906;775
165;0.0016088;622
166;0.0014995;667
167;0.0015009;666
168;0.0018635;537
169;0.0018037;554
170;0.0013583;736
171;0.0017812;561
172;0.0013448;744
173;0.0015249;656
174;0.0013459;743
175;0.00134;746
176;0.0014581;686
177;0.0016829;594
178;0.0021363;468
179;0.0013512;740
180;0.0014782;676
181;0.0012714;787
182;0.0012442;804
183;0.0014334;698
184;0.0012753;784
185;0.0013324;751
186;0.0012459;803
187;0.0016541;605
188;0.0012557;796
189;0.0028094;356
190;0.0011855;844
191;0.0017987;556
192;0.001533;652
193;0.0015099;662
194;0.0014288;700
195;0.0016609;602
196;0.0012163;822
197;0.0014703;680
198;0.0014755;678
199;0.0018366;544
200;0.001659;603
201;0.0017048;587
202;0.0013144;761
203;0.0015839;631
204;0.0011046;905
205;0.0013036;767
206;0.0013686;731
207;0.0014581;686
208;0.0013703;730
209;0.0013748;727
210;0.0020239;494
211;0.0025273;396
212;0.0014325;698
213;0.0014042;712
214;0.0011451;873
215;0.0016031;624
216;0.001249;801
217;0.0013644;733
218;0.0011956;836
219;0.001518;659
220;0.0027792;360
221;0.0016514;606
222;0.0013305;752
223;0.0014817;675
224;0.0012253;816
225;0.0014924;670
226;0.0011905;840
227;0.0014378;696
228;0.0012913;774
229;0.0013232;756
230;0.0016814;595
231;0.0017747;563
232;0.0014822;675
233;0.0016351;612
234;0.0015067;664
235;0.0012657;790
236;0.0012623;792
237;0.001507;664
238;0.0012514;799
239;0.0015894;629
240;0.0012541;797
241;0.0016527;605
242;0.0017798;562
243;0.0016447;608
244;0.001589;629
245;0.0013641;733
246;0.0011516;868
247;0.0015195;658
248;0.0011532;867
249;0.001308;765
250;0.0012908;775
251;0.0013705;730
252;0.0016061;623
253;0.0015368;651
254;0.001204;831
255;0.0017689;565
256;0.0012733;785
257;0.0016828;594
258;0.0015276;655
259;0.0013242;755
260;0.0012926;774
261;0.0015989;625
262;0.0016797;595
263;0.0015713;636
264;0.0015708;637
265;0.001599;625
266;0.001529;654
267;0.0018214;549
268;0.0013909;719
269;0.0016713;598
270;0.001545;647
271;0.0014775;677
