Frame;DeltaTime;FPS
Average;0.140533;7
0;0.170392;6
1;0.144148;7
2;0.140648;7
3;0.139749;7
4;0.140082;7
5;0.139843;7
6;0.146806;7
7;0.150334;7
8;0.148911;7
9;0.153412;7
10;0.15899;6
11;0.153806;7
12;0.148082;7
13;0.147375;7
14;0.139161;7
15;0.140569;7
16;0.142401;7
17;0.146636;7
18;0.149878;7
19;0.146251;7
20;0.145925;7
21;0.147009;7
22;0.148536;7
23;0.148061;7
24;0.142163;7
25;0.142715;7
26;0.142717;7
27;0.142972;7
28;0.189199;5
29;0.180815;6
30;0.15113;7
31;0.1472;7
32;0.146487;7
33;0.144993;7
34;0.148525;7
35;0.147459;7
36;0.145893;7
37;0.145836;7
38;0.145195;7
39;0.147162;7
40;0.145963;7
41;0.145028;7
42;0.145533;7
43;0.144827;7
44;0.146744;7
45;0.141923;7
46;0.140849;7
47;0.142224;7
48;0.141315;7
49;0.140071;7
50;0.140107;7
51;0.144874;7
52;0.145661;7
53;0.14187;7
54;0.143727;7
55;0.144548;7
56;0.143925;7
57;0.145176;7
58;0.144211;7
59;0.145364;7
60;0.139736;7
61;0.139602;7
62;0.138118;7
63;0.139906;7
64;0.145308;7
65;0.143752;7
66;0.142783;7
67;0.145231;7
68;0.13928;7
69;0.139497;7
70;0.139891;7
71;0.142206;7
72;0.147035;7
73;0.14603;7
74;0.144525;7
75;0.144804;7
76;0.144299;7
77;0.143075;7
78;0.139909;7
79;0.137021;7
80;0.141165;7
81;0.13522;7
82;0.138165;7
83;0.136494;7
84;0.137217;7
85;0.137631;7
86;0.140731;7
87;0.138512;7
88;0.139353;7
89;0.139257;7
90;0.146102;7
91;0.145717;7
92;0.141553;7
93;0.145848;7
94;0.144505;7
95;0.144866;7
96;0.14427;7
97;0.144745;7
98;0.142308;7
99;0.144017;7
100;0.150167;7
101;0.149234;7
102;0.149652;7
103;0.148597;7
104;0.144814;7
105;0.146618;7
106;0.140269;7
107;0.142888;7
108;0.139912;7
109;0.14022;7
110;0.147283;7
111;0.145378;7
112;0.147088;7
113;0.144231;7
114;0.145137;7
115;0.144921;7
116;0.146739;7
117;0.140071;7
118;0.138937;7
119;0.140353;7
120;0.143369;7
121;0.146232;7
122;0.135817;7
123;0.139891;7
124;0.139269;7
125;0.138065;7
126;0.138367;7
127;0.138523;7
128;0.146719;7
129;0.146494;7
130;0.13659;7
131;0.138789;7
132;0.138485;7
133;0.14406;7
134;0.143357;7
135;0.144944;7
136;0.138254;7
137;0.139678;7
138;0.136781;7
139;0.138226;7
140;0.13756;7
141;0.136498;7
142;0.136413;7
143;0.137568;7
144;0.141568;7
145;0.139597;7
146;0.140065;7
147;0.135707;7
148;0.138289;7
149;0.139546;7
150;0.138378;7
151;0.138511;7
152;0.138831;7
153;0.137511;7
154;0.138359;7
155;0.140598;7
156;0.142215;7
157;0.143783;7
158;0.143338;7
159;0.140329;7
160;0.143092;7
161;0.142841;7
162;0.142766;7
163;0.143962;7
164;0.143998;7
165;0.133164;8
166;0.137346;7
167;0.139736;7
168;0.144106;7
169;0.143731;7
170;0.147342;7
171;0.144939;7
172;0.145615;7
173;0.147147;7
174;0.140245;7
175;0.143226;7
176;0.146411;7
177;0.144208;7
178;0.143767;7
179;0.142012;7
180;0.147764;7
181;0.142503;7
182;0.142941;7
183;0.143624;7
184;0.143486;7
185;0.144391;7
186;0.143021;7
187;0.145749;7
188;0.13582;7
189;0.136905;7
190;0.138141;7
191;0.138659;7
192;0.143322;7
193;0.146892;7
194;0.14352;7
195;0.144125;7
196;0.145832;7
197;0.148518;7
198;0.137434;7
199;0.138217;7
200;0.139063;7
201;0.137833;7
