Frame;DeltaTime;FPS
Average;0.00435824;229
0;0.0316544;32
1;0.0095348;105
2;0.0049125;204
3;0.0041412;241
4;0.0040142;249
5;0.003965;252
6;0.0044765;223
7;0.0046226;216
8;0.0042271;237
9;0.0041493;241
10;0.004178;239
11;0.0042613;235
12;0.0040399;248
13;0.0041471;241
14;0.0050479;198
15;0.004855;206
16;0.0040039;250
17;0.0044268;226
18;0.0040905;244
19;0.0040699;246
20;0.0039945;250
21;0.0040301;248
22;0.0041702;240
23;0.0041141;243
24;0.0039771;251
25;0.0043401;230
26;0.0052935;189
27;0.0040182;249
28;0.0046275;216
29;0.004403;227
30;0.0040811;245
31;0.0040209;249
32;0.0041775;239
33;0.0041624;240
34;0.0041933;238
35;0.0047362;211
36;0.0044213;226
37;0.0040263;248
38;0.0040651;246
39;0.0043866;228
40;0.0040926;244
41;0.0040826;245
42;0.0040524;247
43;0.0042772;234
44;0.0041174;243
45;0.0041717;240
46;0.0042428;236
47;0.0044084;227
48;0.0043002;233
49;0.0045109;222
50;0.0045236;221
51;0.0044189;226
52;0.0042969;233
53;0.0042999;233
54;0.0048854;205
55;0.0040909;244
56;0.0039553;253
57;0.0041526;241
58;0.0041432;241
59;0.0039741;252
60;0.003987;251
61;0.0041653;240
62;0.0040689;246
63;0.0039537;253
64;0.0039181;255
65;0.0048542;206
66;0.0040682;246
67;0.0039553;253
68;0.0045829;218
69;0.0045356;220
70;0.0040093;249
71;0.0039562;253
72;0.0048875;205
73;0.0045035;222
74;0.0039862;251
75;0.0039419;254
76;0.0042979;233
77;0.0042212;237
78;0.0041288;242
79;0.005093;196
80;0.0044054;227
81;0.0041333;242
82;0.0041264;242
83;0.0043409;230
84;0.0041822;239
85;0.0041775;239
86;0.0049045;204
87;0.0050699;197
88;0.0042627;235
89;0.0041971;238
90;0.0044236;226
91;0.0042492;235
92;0.0042594;235
93;0.0042063;238
94;0.0058576;171
95;0.0050848;197
96;0.0045304;221
97;0.0044031;227
98;0.0043117;232
99;0.0042881;233
100;0.0043722;229
101;0.0042643;235
102;0.0042051;238
103;0.0043222;231
104;0.0044453;225
105;0.0042488;235
106;0.0042222;237
107;0.0043836;228
108;0.0042794;234
109;0.0041506;241
110;0.0041463;241
111;0.0043456;230
112;0.0041645;240
113;0.0041005;244
114;0.0040992;244
115;0.0042926;233
116;0.0041255;242
117;0.004073;246
118;0.0046877;213
119;0.004538;220
120;0.004002;250
121;0.0040421;247
122;0.0045076;222
123;0.004228;237
124;0.0041239;242
125;0.0042436;236
126;0.0042088;238
127;0.0040927;244
128;0.0040965;244
129;0.0043403;230
130;0.0041557;241
131;0.0042192;237
132;0.004166;240
133;0.0042336;236
134;0.0042759;234
135;0.0042788;234
136;0.0060818;164
137;0.0047784;209
138;0.0042285;236
139;0.00439;228
140;0.0047981;208
141;0.0044077;227
142;0.0045693;219
143;0.0046454;215
144;0.0045202;221
145;0.0046479;215
146;0.0045808;218
147;0.0044163;226
148;0.0044506;225
149;0.004733;211
150;0.004551;220
151;0.0041405;242
152;0.0040962;244
153;0.0041252;242
154;0.0043505;230
155;0.0040312;248
156;0.0040048;250
157;0.0050065;200
158;0.0039816;251
159;0.0039595;253
160;0.0040109;249
161;0.004183;239
162;0.0040423;247
163;0.0039463;253
164;0.0040483;247
165;0.0053331;188
166;0.0044363;225
167;0.0039083;256
168;0.0043038;232
169;0.0041638;240
170;0.004076;245
171;0.003941;254
172;0.0041956;238
173;0.0041033;244
174;0.0039485;253
175;0.0039213;255
176;0.0041901;239
177;0.0041497;241
178;0.0040619;246
179;0.0039895;251
180;0.0043624;229
181;0.0043699;229
182;0.0041967;238
183;0.0046535;215
184;0.0042185;237
185;0.0040584;246
186;0.0040088;249
187;0.0044449;225
188;0.0044091;227
189;0.0042663;234
190;0.0041978;238
191;0.0046094;217
192;0.0040694;246
193;0.0041533;241
194;0.0041546;241
195;0.0041213;243
196;0.0041899;239
197;0.0042762;234
198;0.0042138;237
199;0.0042392;236
200;0.0041911;239
201;0.004194;238
202;0.0040892;245
203;0.0041361;242
204;0.0041289;242
205;0.0055927;179
206;0.004522;221
207;0.0040417;247
208;0.004172;240
209;0.0055431;180
210;0.0047427;211
211;0.0042491;235
212;0.004349;230
213;0.0041079;243
214;0.0040002;250
215;0.0043484;230
216;0.0045679;219
217;0.0041052;244
218;0.0041407;242
219;0.0047972;208
220;0.0045696;219
221;0.0041935;238
222;0.0045514;220
223;0.0043766;228
224;0.0040609;246
225;0.0040058;250
226;0.0044683;224
227;0.0041691;240
228;0.0039695;252
229;0.0039437;254
230;0.0044772;223
231;0.0041804;239
232;0.004101;244
233;0.0041153;243
234;0.0041273;242
235;0.0041376;242
236;0.0041648;240
237;0.0041104;243
238;0.0043543;230
239;0.0044211;226
240;0.0043992;227
241;0.0044581;224
242;0.0043723;229
243;0.004379;228
244;0.0043417;230
245;0.0043023;232
246;0.0043866;228
247;0.004307;232
248;0.0046434;215
249;0.0043798;228
250;0.0043111;232
251;0.0043531;230
252;0.0042572;235
253;0.0043365;231
254;0.0043318;231
255;0.0049357;203
256;0.0043274;231
257;0.004029;248
258;0.0040239;249
259;0.0042794;234
260;0.0044405;225
261;0.0039521;253
262;0.0040428;247
263;0.0040979;244
264;0.0040217;249
265;0.0040268;248
266;0.0040377;248
267;0.0042432;236
268;0.0041013;244
269;0.0040829;245
270;0.0040267;248
271;0.0046131;217
272;0.003995;250
273;0.0039501;253
274;0.0040861;245
275;0.0039901;251
276;0.0039725;252
277;0.003919;255
278;0.0042135;237
279;0.0041096;243
280;0.0040463;247
281;0.0039297;254
282;0.0045415;220
283;0.0041382;242
284;0.0039735;252
285;0.0039681;252
286;0.0052408;191
287;0.0042276;237
288;0.0040104;249
289;0.0041091;243
290;0.0041369;242
291;0.0040929;244
292;0.004026;248
293;0.0043101;232
294;0.0041333;242
295;0.0040235;249
296;0.0039873;251
297;0.00431;232
298;0.0041823;239
299;0.0041587;240
300;0.004572;219
301;0.0046434;215
302;0.0041386;242
303;0.004079;245
304;0.0041566;241
305;0.0040524;247
306;0.0040122;249
307;0.0040762;245
308;0.0168668;59
309;0.0063485;158
310;0.0045399;220
311;0.0046398;216
312;0.0041251;242
313;0.0039683;252
314;0.004014;249
315;0.0044544;224
316;0.0042585;235
317;0.0041299;242
318;0.0041472;241
319;0.0042798;234
320;0.0040399;248
321;0.0040692;246
322;0.0040492;247
323;0.0043602;229
324;0.0041238;242
325;0.0040791;245
326;0.0043232;231
327;0.0042799;234
328;0.0042107;237
329;0.0042012;238
330;0.0049749;201
331;0.0043849;228
332;0.0040559;247
333;0.0046437;215
334;0.0044257;226
335;0.0040338;248
336;0.004023;249
337;0.0040683;246
338;0.004186;239
339;0.0041029;244
340;0.0039967;250
341;0.0042715;234
342;0.0040666;246
343;0.0040204;249
344;0.0040131;249
345;0.0043205;231
346;0.0041701;240
347;0.0041634;240
348;0.0041661;240
349;0.0041734;240
350;0.0041726;240
351;0.0041186;243
352;0.0047358;211
353;0.0043931;228
354;0.0040904;244
355;0.00604;166
356;0.004649;215
357;0.0039861;251
358;0.0040286;248
