Frame;DeltaTime;FPS
0;0.110437;9
1;0.0467836;21
2;0.0381456;26
3;0.0427664;23
4;0.0359926;28
5;0.0370874;27
6;0.0354616;28
7;0.0363824;27
8;0.0382177;26
9;0.0361289;28
10;0.0372137;27
11;0.0361721;28
12;0.034742;29
13;0.0349675;29
14;0.034451;29
15;0.0366949;27
16;0.0335882;30
17;0.0347971;29
18;0.0347187;29
19;0.0381783;26
20;0.0376651;27
21;0.0356505;28
22;0.0332697;30
23;0.0367698;27
24;0.0304745;33
25;0.0327082;31
26;0.0317483;31
27;0.0315493;32
28;0.0315089;32
29;0.0333612;30
30;0.0346825;29
31;0.0373859;27
32;0.0374998;27
33;0.0377914;26
34;0.0365995;27
35;0.0324261;31
36;0.0347999;29
37;0.0347672;29
38;0.0332316;30
39;0.0316583;32
40;0.0319097;31
41;0.0333815;30
42;0.0329272;30
43;0.0364339;27
44;0.0323119;31
45;0.0366608;27
46;0.0337805;30
47;0.0343512;29
48;0.033487;30
49;0.0320303;31
50;0.0338944;30
51;0.0357588;28
52;0.0357272;28
53;0.0319505;31
54;0.0338233;30
55;0.0370045;27
56;0.033179;30
57;0.0318969;31
58;0.0372264;27
59;0.0382084;26
60;0.0329089;30
61;0.0324489;31
62;0.0375054;27
63;0.228928;4
64;0.0420423;24
65;0.0314876;32
66;0.0321946;31
67;0.0510288;20
68;0.0359617;28
69;0.0369961;27
70;0.0383225;26
71;0.0329727;30
72;0.0314696;32
73;0.0337949;30
74;0.0334688;30
75;0.0328324;30
76;0.0331663;30
77;0.0355195;28
78;0.0363429;28
79;0.0325861;31
80;0.0345653;29
81;0.0416145;24
82;0.0390873;26
83;0.0360985;28
84;0.0346466;29
85;0.034783;29
86;0.0487879;20
87;0.0475833;21
88;0.0473133;21
89;0.0415699;24
90;0.0368789;27
91;0.0355128;28
92;0.0370776;27
93;0.043847;23
94;0.0401501;25
95;0.0323718;31
96;0.048036;21
97;0.0354713;28
98;0.033126;30
99;0.0323439;31
100;0.0398577;25
101;0.040346;25
102;0.0316852;32
103;0.0363795;27
104;0.0339722;29
105;0.0312365;32
106;0.0366478;27
107;0.0342415;29
108;0.0334257;30
109;0.0358755;28
110;0.0335484;30
111;0.0316506;32
112;0.0327191;31
113;0.0328852;30
114;0.0337541;30
115;0.0336097;30
116;0.0326013;31
117;0.0326322;31
118;0.0330972;30
119;0.0333728;30
120;0.0342936;29
121;0.0329295;30
122;0.0357223;28
123;0.0363964;27
124;0.0323563;31
125;0.0351474;28
126;0.0344868;29
127;0.0337481;30
128;0.0326123;31
129;0.0319893;31
130;0.0336305;30
131;0.0346041;29
132;0.0309288;32
133;0.0321055;31
134;0.0349433;29
135;0.0384995;26
136;0.0355282;28
137;0.0324443;31
138;0.0359071;28
139;0.0316074;32
140;0.0320718;31
141;0.0332802;30
142;0.0343968;29
143;0.0338086;30
144;0.0307687;33
145;0.0346654;29
146;0.0380759;26
147;0.0363199;28
148;0.0345197;29
149;0.0333655;30
150;0.0332974;30
151;0.0346868;29
152;0.0386622;26
153;0.0359922;28
154;0.0323971;31
155;0.0352071;28
156;0.0337894;30
157;0.0347714;29
158;0.033371;30
159;0.0330361;30
160;0.0329973;30
161;0.0334187;30
162;0.0319327;31
163;0.039436;25
164;0.0364221;27
165;0.0365627;27
166;0.0327378;31
167;0.0324934;31
168;0.0324103;31
169;0.0323726;31
170;0.0362991;28
171;0.0340684;29
172;0.0323635;31
173;0.0321887;31
174;0.0317206;32
175;0.0338996;29
176;0.0351773;28
177;0.03342;30
178;0.0320595;31
179;0.0334605;30
180;0.032536;31
181;0.0317963;31
182;0.0337106;30
183;0.03679;27
184;0.0350395;29
185;0.0323325;31
186;0.0318111;31
187;0.0347625;29
188;0.0322557;31
189;0.0318263;31
190;0.0323208;31
191;0.0315414;32
192;0.0302274;33
193;0.0321558;31
194;0.033433;30
195;0.0350699;29
196;0.0340195;29
197;0.0334059;30
198;0.0328393;30
199;0.0310095;32
200;0.0381004;26
201;0.03898;26
202;0.0326396;31
203;0.0325071;31
204;0.0321771;31
205;0.0324621;31
206;0.0438057;23
207;0.0323532;31
208;0.0371546;27
209;0.0335536;30
210;0.0333366;30
211;0.0334516;30
212;0.0386476;26
213;0.0375292;27
214;0.0317631;31
215;0.0398202;25
216;0.0330979;30
217;0.0342347;29
218;0.0340222;29
219;0.0322496;31
220;0.0322241;31
221;0.0327034;31
222;0.0320624;31
223;0.0323913;31
224;0.0316081;32
225;0.0349252;29
226;0.0323605;31
227;0.0319622;31
228;0.0338054;30
229;0.0332913;30
230;0.0318774;31
231;0.0317625;31
232;0.0334824;30
233;0.0351509;28
234;0.0318103;31
235;0.0346884;29
236;0.0345212;29
237;0.0334737;30
238;0.0333465;30
239;0.0328474;30
240;0.0364129;27
241;0.0320953;31
242;0.0320385;31
243;0.0313778;32
244;0.0328162;30
245;0.0339101;29
246;0.0316085;32
247;0.0350687;29
248;0.035556;28
249;0.0342382;29
