Frame;DeltaTime;FPS
0;0.0293608;34
1;0.0008745;1144
2;0.0008361;1196
3;0.0049542;202
4;0.0022814;438
5;0.0023225;431
6;0.0031177;321
7;0.001027;974
8;0.0018553;539
9;0.0020813;480
10;0.0016625;602
11;0.0005589;1789
12;0.0021012;476
13;0.0009182;1089
14;0.0008177;1223
15;0.0006943;1440
16;0.0006843;1461
17;0.0011349;881
18;0.0007641;1309
19;0.00078;1282
20;0.0006597;1516
21;0.0008863;1128
22;0.0005158;1939
23;0.0009769;1024
24;0.0007812;1280
25;0.0009191;1088
26;0.0032176;311
27;0.0016974;589
28;0.0010481;954
29;0.0004621;2164
30;0.000462;2165
31;0.0004461;2242
32;0.0006022;1661
33;0.0012812;781
34;0.0009323;1073
35;0.0009377;1066
36;0.0009508;1052
37;0.0008207;1218
38;0.0009999;1000
39;0.0008545;1170
40;0.0009039;1106
41;0.0016583;603
42;0.0010005;1000
43;0.0010381;963
44;0.0010166;984
45;0.0007398;1352
46;0.0007906;1265
47;0.0004733;2113
48;0.0006031;1658
49;0.0012755;784
50;0.0005489;1822
51;0.0004692;2131
52;0.0004348;2300
53;0.0012929;773
54;0.0008096;1235
55;0.0004919;2033
56;0.0004974;2010
57;0.0005063;1975
58;0.0004665;2144
59;0.0004563;2192
60;0.0005687;1758
61;0.0007296;1371
62;0.0018535;540
63;0.0011942;837
64;0.0009154;1092
65;0.0008394;1191
66;0.0011533;867
67;0.0009048;1105
68;0.0008752;1143
69;0.0009118;1097
70;0.0008442;1185
71;0.0009307;1074
72;0.0007543;1326
73;0.0007527;1329
74;0.0006553;1526
75;0.0005434;1840
76;0.0010925;915
77;0.0008783;1139
78;0.000561;1783
79;0.0014046;712
80;0.0011184;894
81;0.0005723;1747
82;0.0004823;2073
83;0.0004742;2109
84;0.0010494;953
85;0.000655;1527
86;0.0006619;1511
87;0.0006208;1611
88;0.0005818;1719
89;0.0009896;1011
90;0.0008418;1188
91;0.0006243;1602
92;0.0004332;2308
93;0.0005133;1948
94;0.0004915;2035
95;0.000606;1650
96;0.0006563;1524
97;0.0012814;780
98;0.0005142;1945
99;0.0017189;582
100;0.0008685;1151
101;0.0005861;1706
102;0.0005243;1907
103;0.0004719;2119
104;0.0004599;2174
105;0.0004516;2214
106;0.0008316;1203
107;0.0009821;1018
108;0.0010976;911
109;0.0011004;909
110;0.0007364;1358
111;0.000497;2012
112;0.0006271;1595
113;0.0005933;1685
114;0.0006131;1631
115;0.0005801;1724
116;0.0005492;1821
117;0.0005318;1880
118;0.0006139;1629
119;0.0006384;1566
120;0.0006287;1591
121;0.0015269;655
122;0.0010632;941
123;0.0005677;1761
124;0.0005848;1710
125;0.0005628;1777
126;0.0005279;1894
127;0.0005629;1777
128;0.0006105;1638
129;0.0007029;1423
130;0.0008542;1171
131;0.0010472;955
132;0.000764;1309
133;0.0006567;1523
134;0.0005933;1685
135;0.0005172;1933
136;0.0004807;2080
137;0.0004545;2200
138;0.0004635;2157
139;0.0005798;1725
140;0.000594;1684
141;0.0005525;1810
142;0.000633;1580
143;0.0008477;1180
144;0.0013349;749
145;0.0010879;919
146;0.0006449;1551
147;0.0004552;2197
148;0.0005009;1996
149;0.0005716;1749
150;0.0013749;727
151;0.0008474;1180
152;0.0004141;2415
153;0.0013377;748
154;0.0006188;1616
155;0.0007242;1381
156;0.0006737;1484
157;0.0006613;1512
158;0.0005694;1756
159;0.0004418;2263
160;0.0010051;995
161;0.0009295;1076
162;0.0007297;1370
163;0.0004494;2225
164;0.0004766;2098
165;0.0031917;313
166;0.0009888;1011
167;0.0010097;990
168;0.000545;1835
169;0.000551;1815
170;0.0004813;2078
171;0.0005276;1895
172;0.0004614;2167
173;0.0010916;916
174;0.000835;1198
175;0.0006272;1594
176;0.0006036;1657
177;0.0006064;1649
178;0.0007553;1324
179;0.0005806;1722
180;0.0005182;1930
181;0.0004968;2013
182;0.0006657;1502
183;0.0006705;1491
184;0.0016303;613
185;0.0011718;853
186;0.0006736;1485
187;0.0006006;1665
188;0.0005047;1981
189;0.0004574;2186
190;0.0004423;2261
191;0.0004447;2249
192;0.0004509;2218
193;0.0006948;1439
194;0.0006203;1612
195;0.0005227;1913
196;0.0005966;1676
197;0.0014436;693
198;0.0007659;1306
199;0.0006518;1534
200;0.000699;1431
201;0.000735;1361
202;0.0006321;1582
203;0.0005891;1698
204;0.0005217;1917
205;0.0005067;1974
206;0.0011669;857
207;0.0013699;730
208;0.0005698;1755
209;0.0006724;1487
210;0.0013118;762
211;0.00072;1389
212;0.0005705;1753
213;0.0005198;1924
214;0.0005277;1895
215;0.0006506;1537
216;0.0008516;1174
217;0.000672;1488
218;0.000534;1873
219;0.0004931;2028
220;0.0008289;1206
221;0.0010574;946
222;0.0005508;1816
223;0.0005563;1798
224;0.0006289;1590
225;0.0005675;1762
226;0.0005573;1794
227;0.0005607;1783
228;0.0016469;607
229;0.0012866;777
230;0.0008161;1225
231;0.0005605;1784
232;0.0004886;2047
233;0.0004766;2098
234;0.0005471;1828
235;0.0009278;1078
236;0.000724;1381
237;0.0005622;1779
238;0.0005426;1843
239;0.0005403;1851
240;0.0005127;1950
241;0.0004889;2045
242;0.0004927;2030
243;0.0005694;1756
244;0.0015451;647
245;0.0009812;1019
246;0.0005582;1791
247;0.0005602;1785
248;0.0011764;850
249;0.0011441;874
250;0.0026571;376
251;0.0011437;874
252;0.0008965;1115
253;0.0005316;1881
254;0.0005415;1847
255;0.0005154;1940
256;0.0005115;1955
257;0.0004532;2207
258;0.0010606;943
259;0.0005318;1880
260;0.0004878;2050
261;0.0005795;1726
262;0.00074;1351
263;0.001381;724
264;0.0008956;1117
265;0.0006459;1548
266;0.0013236;756
267;0.0010064;994
268;0.0007005;1428
269;0.0005127;1950
270;0.0004608;2170
271;0.0004592;2178
272;0.0004547;2199
273;0.0004425;2260
274;0.0004584;2182
275;0.0004572;2187
276;0.0005918;1690
277;0.0011024;907
278;0.0004607;2171
279;0.0004754;2103
280;0.0004642;2154
281;0.0004926;2030
282;0.0005738;1743
283;0.0007778;1286
284;0.0005382;1858
285;0.0005594;1788
286;0.0005799;1724
287;0.0006249;1600
288;0.0010108;989
289;0.0010768;929
290;0.001412;708
291;0.0009803;1020
292;0.0007631;1310
293;0.0005451;1835
294;0.0005113;1956
295;0.0004982;2007
296;0.0004619;2165
297;0.0004895;2043
298;0.0004819;2075
299;0.0005103;1960
300;0.0004686;2134
301;0.0004887;2046
302;0.0006164;1622
303;0.0012531;798
304;0.000616;1623
305;0.0005974;1674
306;0.0005745;1741
307;0.0005842;1712
308;0.000637;1570
309;0.0005883;1700
310;0.0005999;1667
311;0.0006113;1636
312;0.0005864;1705
313;0.0007886;1268
314;0.0034954;286
315;0.0015023;666
316;0.0008461;1182
317;0.0005585;1791
318;0.0005932;1686
319;0.0006203;1612
320;0.0005865;1705
321;0.0005641;1773
322;0.0006102;1639
323;0.0006325;1581
324;0.0006631;1508
325;0.0007012;1426
326;0.0007426;1347
327;0.0007746;1291
328;0.0007384;1354
329;0.000788;1269
330;0.0008381;1193
331;0.0007606;1315
332;0.0007969;1255
333;0.0010582;945
334;0.0010364;965
335;0.0011003;909
336;0.0010469;955
337;0.0009584;1043
338;0.0007764;1288
339;0.0007487;1336
340;0.0007475;1338
341;0.0006568;1523
342;0.0006668;1500
343;0.0006615;1512
344;0.0006249;1600
345;0.0006399;1563
346;0.0007025;1423
347;0.0006742;1483
348;0.0006585;1519
349;0.0007031;1422
350;0.00072;1389
351;0.0009791;1021
352;0.0014214;704
353;0.001194;838
354;0.0008031;1245
355;0.0007468;1339
356;0.0007392;1353
357;0.0006948;1439
358;0.0006562;1524
359;0.0006845;1461
360;0.0006647;1504
361;0.0006522;1533
362;0.0006997;1429
363;0.0006274;1594
364;0.0006184;1617
365;0.0006077;1646
366;0.0005718;1749
367;0.0005652;1769
368;0.0005723;1747
369;0.0005704;1753
370;0.0005896;1696
371;0.0005652;1769
372;0.0006115;1635
373;0.0005805;1723
374;0.0005848;1710
375;0.0007388;1354
376;0.0014291;700
377;0.0007886;1268
378;0.0005958;1678
379;0.0005796;1725
380;0.000635;1575
381;0.0006269;1595
382;0.0005817;1719
383;0.0006169;1621
384;0.0005956;1679
385;0.0005648;1771
386;0.0005464;1830
387;0.0005783;1729
388;0.0005977;1673
389;0.0005824;1717
390;0.0006112;1636
391;0.0006068;1648
392;0.0006112;1636
393;0.0005768;1734
394;0.0006306;1586
395;0.0005679;1761
396;0.0005521;1811
397;0.0006127;1632
398;0.0006554;1526
399;0.0010775;928
400;0.0007937;1260
401;0.0007805;1281
402;0.0005756;1737
403;0.0005568;1796
404;0.0005748;1740
405;0.0005894;1697
406;0.0007228;1384
407;0.000635;1575
408;0.000663;1508
409;0.0006898;1450
410;0.0007151;1398
411;0.0008127;1230
412;0.0008489;1178
413;0.0008957;1116
414;0.0009261;1080
415;0.0009149;1093
416;0.00088;1136
417;0.0008457;1182
418;0.0008531;1172
419;0.0008155;1226
420;0.0011527;868
421;0.0011536;867
422;0.0011681;856
423;0.0011398;877
424;0.001038;963
425;0.0011148;897
426;0.0010388;963
427;0.0010017;998
428;0.000958;1044
429;0.0009455;1058
430;0.0008785;1138
431;0.000857;1167
432;0.0006503;1538
433;0.0006696;1493
434;0.0007129;1403
435;0.0015625;640
436;0.0008109;1233
437;0.0006137;1629
438;0.0005773;1732
439;0.0005474;1827
440;0.0005883;1700
441;0.0005307;1884
442;0.0005152;1941
443;0.0005886;1699
444;0.0005997;1668
445;0.0011166;896
446;0.0008639;1158
447;0.0007085;1411
448;0.0006963;1436
449;0.0006899;1449
450;0.0008355;1197
451;0.0006141;1628
452;0.0008083;1237
453;0.0006662;1501
454;0.0008273;1209
455;0.0007408;1350
456;0.0025648;390
457;0.001279;782
458;0.0006173;1620
459;0.0006213;1610
460;0.0006565;1523
461;0.0005877;1702
462;0.0005644;1772
463;0.0005895;1696
464;0.0006107;1637
465;0.0006572;1522
466;0.0006972;1434
467;0.0008426;1187
468;0.000892;1121
469;0.0007467;1339
470;0.0006991;1430
471;0.0006611;1513
472;0.0006676;1498
473;0.0006462;1548
474;0.0006516;1535
475;0.0006941;1441
476;0.0011762;850
477;0.0011429;875
478;0.0006364;1571
479;0.0006297;1588
480;0.0006965;1436
481;0.0006457;1549
482;0.0005717;1749
483;0.0005952;1680
484;0.0006465;1547
485;0.0006304;1586
486;0.0005739;1742
487;0.0005412;1848
488;0.0004554;2196
489;0.0004842;2065
490;0.0006999;1429
491;0.0006382;1567
492;0.000474;2110
493;0.0006552;1526
494;0.0007491;1335
495;0.0005048;1981
496;0.0005286;1892
497;0.0004722;2118
498;0.0006796;1471
499;0.0009289;1077
