Frame;DeltaTime;FPS
0;0.0300289;33
1;0.0039158;255
2;0.0036103;277
3;0.0026699;375
4;0.0018156;551
5;0.0019366;516
6;0.0037408;267
7;0.0018042;554
8;0.0018323;546
9;0.00184;543
10;0.0016377;611
11;0.0028049;357
12;0.0024211;413
13;0.0024146;414
14;0.0022176;451
15;0.0023047;434
16;0.0023037;434
17;0.0020432;489
18;0.001829;547
19;0.0017117;584
20;0.0017779;562
21;0.0018323;546
22;0.001714;583
23;0.0023295;429
24;0.0015703;637
25;0.0015728;636
26;0.0017047;587
27;0.0016703;599
28;0.0016971;589
29;0.0028746;348
30;0.0015991;625
31;0.0016358;611
32;0.0016541;605
33;0.0016266;615
34;0.0015937;627
35;0.0019348;517
36;0.0019957;501
37;0.0019228;520
38;0.001963;509
39;0.0020696;483
40;0.001795;557
41;0.001989;503
42;0.0019314;518
43;0.0017632;567
44;0.0016957;590
45;0.0016326;613
46;0.0016646;601
47;0.0016931;591
48;0.001647;607
49;0.0019292;518
50;0.0018945;528
51;0.0020106;497
52;0.0023589;424
53;0.0030749;325
54;0.0015119;661
55;0.0016813;595
56;0.0016129;620
57;0.0017062;586
58;0.0018249;548
59;0.0038739;258
60;0.0020248;494
61;0.0016069;622
62;0.0015279;654
63;0.0015453;647
64;0.0020412;490
65;0.0016228;616
66;0.0016457;608
67;0.0023803;420
68;0.0020684;483
69;0.0015318;653
70;0.0014932;670
71;0.0015414;649
72;0.0014759;678
73;0.0015702;637
74;0.0015902;629
75;0.0016461;607
76;0.0019443;514
77;0.0017263;579
78;0.0016415;609
79;0.0026237;381
80;0.0016952;590
81;0.0016663;600
82;0.0015809;633
83;0.0016716;598
84;0.0017067;586
85;0.0019793;505
86;0.001947;514
87;0.002094;478
88;0.0016384;610
89;0.0015358;651
90;0.0015257;655
91;0.0015148;660
92;0.0015867;630
93;0.0016902;592
94;0.0019091;524
95;0.0018569;539
96;0.0018148;551
97;0.0016236;616
98;0.0015567;642
99;0.0015542;643
100;0.0015306;653
101;0.0015344;652
102;0.0014872;672
103;0.0021333;469
104;0.0018987;527
105;0.0016591;603
106;0.0016138;620
107;0.0016688;599
108;0.0016628;601
109;0.0015729;636
110;0.001593;628
111;0.0016306;613
112;0.001744;573
113;0.0017386;575
114;0.0020431;489
115;0.0017788;562
116;0.0016969;589
117;0.0017484;572
118;0.0015865;630
119;0.0016112;621
120;0.0015711;636
121;0.0029398;340
122;0.0029268;342
123;0.0017938;557
124;0.0016154;619
125;0.0017946;557
126;0.0016096;621
127;0.0016003;625
128;0.0015872;630
129;0.0020657;484
130;0.0021353;468
131;0.0018186;550
132;0.0016391;610
133;0.0015675;638
134;0.0015864;630
135;0.0015638;639
136;0.0015195;658
137;0.0015429;648
138;0.0016787;596
139;0.0018662;536
140;0.0019269;519
141;0.0015637;640
142;0.0016141;620
143;0.0015552;643
144;0.0023247;430
145;0.0019886;503
146;0.0015088;663
147;0.0017162;583
148;0.0017885;559
149;0.0018065;554
150;0.0016302;613
151;0.0016072;622
152;0.0016398;610
153;0.0015713;636
154;0.0015764;634
155;0.0015408;649
156;0.0022616;442
157;0.0017845;560
158;0.0015551;643
159;0.0016306;613
160;0.0015473;646
161;0.0016055;623
162;0.0015316;653
163;0.001558;642
164;0.0015502;645
165;0.0015336;652
166;0.0017854;560
167;0.001581;633
168;0.001503;665
169;0.0015284;654
170;0.0016234;616
171;0.0022341;448
172;0.0016203;617
173;0.0015949;627
174;0.0015222;657
175;0.0018655;536
176;0.0017381;575
177;0.0016484;607
178;0.0016301;613
179;0.0016078;622
180;0.0017893;559
181;0.0018071;553
182;0.0016326;613
183;0.0016747;597
184;0.0032818;305
185;0.0020132;497
186;0.0015604;641
187;0.0015159;660
188;0.0018716;534
189;0.0017238;580
190;0.0016037;624
191;0.0015012;666
192;0.0015478;646
193;0.0018191;550
194;0.0016478;607
195;0.001726;579
196;0.001666;600
197;0.0016903;592
198;0.0020338;492
199;0.0017438;573
200;0.001782;561
201;0.0020786;481
202;0.0017643;567
203;0.0015388;650
204;0.0015034;665
205;0.001556;643
206;0.0015754;635
207;0.0015966;626
208;0.001969;508
209;0.0017742;564
210;0.0017838;561
211;0.0017817;561
212;0.0017517;571
213;0.0016055;623
214;0.0016211;617
215;0.0016053;623
216;0.0016045;623
217;0.0016439;608
218;0.0016776;596
219;0.0026394;379
220;0.0020421;490
221;0.0015925;628
222;0.0015388;650
223;0.0015071;664
224;0.0014926;670
225;0.001542;649
226;0.00149;671
227;0.0015058;664
228;0.0015486;646
229;0.0021396;467
230;0.0024289;412
231;0.0022709;440
232;0.002182;458
233;0.0021961;455
234;0.002279;439
235;0.0024005;417
236;0.0021799;459
237;0.0018581;538
238;0.0017037;587
239;0.0016882;592
240;0.0016206;617
241;0.0015849;631
242;0.0015856;631
243;0.0015972;626
244;0.0016354;611
245;0.0040034;250
246;0.0019499;513
247;0.0016701;599
248;0.001639;610
249;0.0015705;637
250;0.0015681;638
251;0.0015599;641
252;0.0015858;631
253;0.0020158;496
254;0.0017962;557
255;0.0016327;612
256;0.0015319;653
257;0.0015532;644
258;0.001538;650
259;0.0015429;648
260;0.0015419;649
261;0.0014976;668
262;0.0014741;678
263;0.0020982;477
264;0.0023189;431
265;0.0016048;623
266;0.0017368;576
267;0.0016141;620
268;0.0015312;653
269;0.001561;641
270;0.001542;649
271;0.0015459;647
272;0.0017666;566
273;0.0017534;570
274;0.0016768;596
275;0.0016335;612
276;0.0017205;581
277;0.0016652;601
278;0.0015824;632
279;0.0016004;625
280;0.0015995;625
281;0.0017246;580
282;0.0017368;576
283;0.0016809;595
284;0.0016435;608
285;0.0016264;615
286;0.001728;579
287;0.0016759;597
288;0.0016429;609
289;0.0016459;608
290;0.0016165;619
291;0.0021526;465
292;0.0018617;537
293;0.0017227;580
294;0.0016563;604
295;0.0016873;593
296;0.0017781;562
297;0.0016595;603
298;0.0016481;607
299;0.0018855;530
300;0.001737;576
301;0.0016339;612
302;0.001633;612
303;0.00167;599
304;0.0016507;606
305;0.0016772;596
306;0.00186;538
307;0.0016746;597
308;0.0034175;293
309;0.0022092;453
310;0.0016416;609
311;0.0016045;623
312;0.0015717;636
313;0.001595;627
314;0.0016679;600
315;0.0016018;624
316;0.0015472;646
317;0.002662;376
318;0.002186;457
319;0.0017303;578
320;0.0017054;586
321;0.0016525;605
322;0.0016841;594
323;0.001745;573
324;0.0017066;586
325;0.0021012;476
326;0.0018936;528
327;0.001586;631
328;0.0016728;598
329;0.0014859;673
330;0.0015071;664
331;0.0015133;661
332;0.0015047;665
333;0.0015115;662
334;0.0015217;657
335;0.0017033;587
336;0.0017628;567
337;0.0015207;658
338;0.0015117;662
339;0.001461;684
340;0.0014801;676
341;0.0015086;663
342;0.001559;641
343;0.0015061;664
344;0.0016065;622
345;0.0017634;567
346;0.0016708;599
347;0.0015616;640
348;0.0015101;662
349;0.0014903;671
350;0.001542;649
351;0.0015398;649
352;0.0015775;634
353;0.0015248;656
354;0.0015355;651
355;0.0020734;482
356;0.0020545;487
357;0.0016107;621
358;0.0015532;644
359;0.001522;657
360;0.0015332;652
361;0.0015494;645
362;0.0015514;645
363;0.0015086;663
364;0.0016046;623
365;0.0019129;523
366;0.001636;611
367;0.0015171;659
368;0.0014767;677
369;0.0014833;674
370;0.0014857;673
371;0.0014831;674
372;0.0015438;648
373;0.0015561;643
374;0.0015053;664
375;0.0027535;363
376;0.0020342;492
377;0.0015695;637
378;0.0014708;680
379;0.0014472;691
380;0.0014929;670
381;0.001466;682
382;0.0014631;683
383;0.0014819;675
384;0.0017084;585
385;0.0017058;586
386;0.0015761;634
387;0.0015298;654
388;0.0014536;688
389;0.0015065;664
390;0.0014798;676
391;0.0014657;682
392;0.0014691;681
393;0.0014729;679
394;0.0021737;460
395;0.0020818;480
396;0.002077;481
397;0.0016879;592
398;0.0015976;626
399;0.0015825;632
400;0.001573;636
401;0.0015674;638
402;0.0015595;641
403;0.0018318;546
404;0.0016359;611
405;0.0016053;623
406;0.001628;614
407;0.0015598;641
408;0.0014884;672
409;0.0015142;660
410;0.0014695;681
411;0.0014701;680
412;0.0014792;676
413;0.0018107;552
414;0.0016483;607
415;0.0016259;615
416;0.001636;611
417;0.0015344;652
418;0.0014966;668
419;0.0014819;675
420;0.0015047;665
421;0.0014803;676
422;0.0014567;686
423;0.001846;542
424;0.0018126;552
425;0.0016161;619
426;0.0016346;612
427;0.0023628;423
428;0.0015823;632
429;0.0016016;624
430;0.0015516;644
431;0.0015127;661
432;0.0017365;576
433;0.0018109;552
434;0.0017944;557
435;0.0017934;558
436;0.0017633;567
437;0.0017564;569
438;0.0016359;611
439;0.0016463;607
440;0.0016525;605
441;0.0026519;377
442;0.0022985;435
443;0.0017028;587
444;0.0017055;586
445;0.0026832;373
446;0.0020008;500
447;0.0016757;597
448;0.0019469;514
449;0.0019239;520
450;0.0019397;516
451;0.00192;521
452;0.0018667;536
453;0.001728;579
454;0.0018414;543
455;0.0017903;559
456;0.0022856;438
457;0.001918;521
458;0.0018594;538
459;0.0018198;550
460;0.0020871;479
461;0.0019533;512
462;0.001724;580
463;0.0016448;608
464;0.0020866;479
465;0.0025137;398
466;0.0019259;519
467;0.0017118;584
468;0.0016819;595
469;0.0016757;597
470;0.0016497;606
471;0.0016336;612
472;0.0016697;599
473;0.0018814;532
474;0.0017328;577
475;0.001679;596
476;0.0015712;636
477;0.0015785;634
478;0.0017119;584
479;0.0017708;565
480;0.0015694;637
481;0.0016907;591
482;0.0021834;458
483;0.0018335;545
484;0.001604;623
485;0.0015697;637
486;0.0015625;640
487;0.001561;641
488;0.0016815;595
489;0.0016956;590
490;0.0016043;623
491;0.0019669;508
492;0.0020759;482
493;0.0017811;561
494;0.001721;581
495;0.0017113;584
496;0.0017169;582
497;0.0017441;573
498;0.0017277;579
499;0.0018268;547
